Group,Q2,Q3,Q4,Q5,Q6,Q7
Please enter the 4-digit number provided in the e-mail containing the survey link,ABC Sock Company cares about my needs as a customer,ABC Sock Company produces high-quality dependable socks,ABC Sock company only uses cotton farmed using what environmental practice?,ABC Sock company is the only company to sell socks with what patented technology?,I have a favourable opinion of ABC Sock Company,Would you recommend ABC Sock Company to a friend?
528,5,5,Moonlight Harvest,Socks that never get holes,5,Yes
207,5,5,Hydroponics,Socks that never get holes,5,No
5936,3,4,Organic,Anti-sweat technology,4,No
160682,3,2,Moonlight Harvest,Anti-sweat technology,2,Yes
59672,4,4,Hydroponics,Anti-sweat technology,3,No
841962,6,6,Organic,Anti-sweat technology,6,Yes
170,2,3,Organic,Sock bands that always stay up,3,Yes
1967,6,5,Organic,Anti-sweat technology,5,No
8616,5,6,Moonlight Harvest,Anti-sweat technology,6,Yes
992,5,3,Organic,Anti-sweat technology,5,No
6073,5,6,Hydroponics,Sock bands that always stay up,6,No
874492,4,4,Organic,Unsure,4,Yes
3956,6,6,Organic,Anti-sweat technology,5,Yes
199,3,2,Organic,Socks that never get holes,2,No
60501,6,6,Hydroponics,Anti-sweat technology,6,No
24392,3,4,Hydroponics,Sock bands that always stay up,4,Yes
6949,6,5,Organic,Unsure,6,Yes
387,4,4,Organic,Socks that change colour so you never wear mismatched socks again,5,No
7309,4,3,Moonlight Harvest,Anti-sweat technology,3,Yes
8700,5,6,Organic,Anti-sweat technology,6,Yes
878,3,2,Organic,Socks that never get holes,3,No
19521,4,4,Organic,Socks that change colour so you never wear mismatched socks again,3,Yes
691819,5,4,Conventional Farming,Socks that never get holes,5,Yes
640,6,6,Hydroponics,Socks that change colour so you never wear mismatched socks again,5,Yes
39705,6,6,Organic,Unsure,6,Yes
1147,3,4,Hydroponics,Socks that change colour so you never wear mismatched socks again,3,No
41652,5,6,Hydroponics,Anti-sweat technology,5,Yes
8984,3,4,Organic,Unsure,3,No
6036,5,3,Moonlight Harvest,Anti-sweat technology,3,No
418472,3,3,Moonlight Harvest,Anti-sweat technology,3,No
7134,4,4,Organic,Anti-sweat technology,4,Yes
335,4,4,Hydroponics,Socks that never get holes,6,No
4886,4,4,Organic,Socks that never get holes,4,No
3139,5,5,Organic,Socks that never get holes,5,Yes
41582,5,5,Organic,Anti-sweat technology,5,Yes
554,5,5,Organic,Socks that never get holes,5,Yes
51301,6,5,Organic,Anti-sweat technology,7,Yes
111,3,3,Moonlight Harvest,Anti-sweat technology,3,Yes
509936,3,3,Organic,Socks that change colour so you never wear mismatched socks again,1,Yes
5410,5,6,Moonlight Harvest,Unsure,6,Yes
67934,4,3,Organic,Anti-sweat technology,4,No
97573,4,4,Organic,Anti-sweat technology,3,Yes
8682,6,5,Organic,Anti-sweat technology,6,Yes
210,3,2,Organic,Unsure,3,No
173866,3,2,Organic,Socks that never get holes,2,No
981091,2,2,Hydroponics,Sock bands that always stay up,3,No
211135,2,3,Organic,Socks that change colour so you never wear mismatched socks again,2,Yes
879,6,7,Conventional Farming,Socks that change colour so you never wear mismatched socks again,5,Yes
5354,4,4,Hydroponics,Anti-sweat technology,4,Yes
421,4,5,Moonlight Harvest,Anti-sweat technology,4,Yes
11523,6,6,Organic,Socks that change colour so you never wear mismatched socks again,5,Yes
720,5,5,Organic,Anti-sweat technology,5,No
976631,6,7,Organic,Socks that never get holes,6,No
41600,4,3,Organic,Anti-sweat technology,4,No
106394,2,3,Organic,Unsure,3,Yes
815815,6,5,Organic,Socks that never get holes,5,Yes
8330,6,5,Hydroponics,Anti-sweat technology,5,No
133,4,4,Organic,Anti-sweat technology,5,Yes
9376,3,3,Organic,Anti-sweat technology,3,Yes
793805,5,4,Organic,Anti-sweat technology,4,Yes
95426,3,5,Hydroponics,Anti-sweat technology,3,No
677850,4,4,Organic,Anti-sweat technology,5,Yes
7703,4,4,Hydroponics,Socks that change colour so you never wear mismatched socks again,3,Yes
466,3,3,Organic,Anti-sweat technology,3,No
838,3,2,Hydroponics,Anti-sweat technology,2,No
61797,3,4,Organic,Socks that change colour so you never wear mismatched socks again,4,Yes
68724,6,5,Organic,Anti-sweat technology,5,Yes
90874,3,4,Organic,Anti-sweat technology,3,No
9592,3,4,Hydroponics,Socks that never get holes,3,No
